id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-1288,2016-06-14,000001,Vente,143000,5231,,SAINT JEAN SUR VEYLE,B058,01290,01365,Saint-Jean-sur-Veyle,01,,,013650000C0949,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,356,0,S,sols,,,600,4.914441,46.25777
2016-1288,2016-06-14,000001,Vente,143000,5231,,SAINT JEAN SUR VEYLE,B058,01290,01365,Saint-Jean-sur-Veyle,01,,,013650000C0949,,,,,,,,,,,,,0,1,Maison,84,3,S,sols,,,600,4.914441,46.25777
2016-1289,2016-05-19,000001,Vente,97000,7,B,RUE DES ARBELLES,0281,01000,01053,Bourg-en-Bresse,01,,,01053000AZ0291,,,,,,,,,,,,,0,1,Maison,70,3,S,sols,,,115,5.23173,46.198556
2016-1290,2016-05-20,000001,Vente,31000,23,,RUE DU QUATRE SEPTEMBRE,3290,01000,01053,Bourg-en-Bresse,01,,,01053000AD0692,,,93,18.43,,,,,,,,,1,2,Appartement,18,1,,,,,,5.228269,46.207193
2016-1291,2016-05-27,000001,Vente,155000,3,,ALL DU NOYER,0110,01240,01069,Certines,01,,,01069000ZH0121,,,,,,,,,,,,,0,1,Maison,88,4,S,sols,,,1032,5.273144,46.145291
2016-1291,2016-05-27,000001,Vente,155000,3,,ALL DU NOYER,0110,01240,01069,Certines,01,,,01069000ZH0121,,,,,,,,,,,,,0,1,Maison,88,4,P,prés,,,803,5.273144,46.145291
2016-1291,2016-05-27,000001,Vente,155000,,,AUX DOUVRES,B021,01240,01069,Certines,01,,,01069000ZH0123,,,,,,,,,,,,,0,,,,,P,prés,,,768,5.273382,46.145716
2016-1292,2016-05-30,000001,Vente,200000,,,EN LAGNAT,B041,01290,01136,Cruzilles-lès-Mépillat,01,,,01136000ZA0238,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,1109,4.865189,46.22421
2016-1293,2016-05-30,000001,Vente,110000,8,,RUE DU CORDIER,0990,01000,01053,Bourg-en-Bresse,01,,,01053000BD0154,,,140,,153,83.05,,,,,,,2,2,Appartement,83,4,,,,,,5.235124,46.2037
2016-1294,2016-06-01,000001,Vente,359000,5069,,LES COMBES,B046,01250,01195,Jasseron,01,,,011950000C0687,,,,,,,,,,,,,0,1,Maison,143,5,S,sols,,,505,5.339452,46.209365
2016-1294,2016-06-01,000001,Vente,359000,,,LES COMBES,B046,01250,01195,Jasseron,01,,,011950000C0692,,,,,,,,,,,,,0,,,,,J,jardins,,,200,5.339228,46.209346
2016-1294,2016-06-01,000001,Vente,359000,,,LES COMBES,B046,01250,01195,Jasseron,01,,,011950000C1998,,,,,,,,,,,,,0,,,,,P,prés,,,146,5.339417,46.209496
2016-1294,2016-06-01,000001,Vente,359000,,,LES COMBES,B046,01250,01195,Jasseron,01,,,011950000C1999,,,,,,,,,,,,,0,,,,,P,prés,,,4152,5.340391,46.209341
2016-1294,2016-06-01,000001,Vente,359000,,,LES COMBES,B046,01250,01195,Jasseron,01,,,011950000C2003,,,,,,,,,,,,,0,,,,,P,prés,,,3952,5.340302,46.209677
2016-1295,2016-06-15,000001,Vente,225000,499,,RUE DU PRE DE L ETANG,0780,01750,01320,Replonges,01,,,013200000E3067,,,,,,,,,,,,,0,1,Maison,211,7,S,sols,,,1981,,
2016-1296,2016-06-02,000001,Vente,19000,,,LES VENUES,B376,01750,01320,Replonges,01,,,013200000B1103,,,,,,,,,,,,,0,,,,,T,terres,LEGUM,Légumière de plein champ,650,,
2016-1297,2016-06-09,000001,Vente,331470,706,,CHEM DU PETIT CORGENON,0356,01310,01065,Buellas,01,,,010650000B1135,,,,,,,,,,,,,0,1,Maison,199,6,S,sols,,,2764,5.155345,46.204242
2016-1297,2016-06-09,000001,Vente,331470,,,L ETANG,B030,01310,01065,Buellas,01,,,010650000B1201,,,,,,,,,,,,,0,,,,,T,terres,,,952,5.154652,46.203972
2016-1298,2016-06-02,000001,Vente,80000,405,,RTE DE CORGENT,0075,01340,01196,Jayat,01,,,011960000A0679,,,,,,,,,,,,,0,1,Maison,64,2,S,sols,,,1088,5.097654,46.372192
2016-1298,2016-06-02,000001,Vente,80000,405,,RTE DE CORGENT,0075,01340,01196,Jayat,01,,,011960000A0679,,,,,,,,,,,,,0,1,Maison,64,2,P,prés,,,912,5.097654,46.372192
2016-1299,2016-05-31,000001,Vente,173000,5509,,LA BOTTIERE,B062,01851,01232,Marboz,01,,,01232000WK0153,,,,,,,,,,,,,0,1,Maison,142,4,S,sols,,,2767,5.27429,46.347977
2016-1299,2016-05-31,000001,Vente,173000,,,LA BOTTIERE,B062,01851,01232,Marboz,01,,,01232000WK0155,,,,,,,,,,,,,0,,,,,P,prés,,,504,5.274005,46.348139
2016-1300,2016-06-07,000001,Vente,22841.39,,,LES BERGERIES,B014,01851,01232,Marboz,01,,,01232000WP0334,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,0,AB,terrains a bâtir,,,1923,5.248604,46.330954
